"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"98",41719444.5810657,362899999983.738,88799999.9995938,"r00008",10,"NO",2135494.29775558,41.5828785367975
"99",41558478.9969742,363999999983.6,87439999.9995588,"r00009",10,"NO",2138728.33791968,40.8841078360663
"100",41891285.8540395,364599999982.416,88539999.9996695,"r00010",10,"NO",2140490.30032243,41.3643546930965
"101",42312987.8452147,363999999982.463,88119999.9993002,"r00001",11,"NO",2138728.33791633,41.2020537798417
"102",41880838.2677179,357699999984.594,85059999.9994996,"r00002",11,"NO",2120139.32762983,40.1200047992085
"103",42316775.4826161,362599999981.961,86819999.999042,"r00003",11,"NO",2134611.43643052,40.6725076598586
"104",42321225.6816383,366999999983.847,86739999.9996838,"r00004",11,"NO",2147523.69376145,40.3907068646847
"105",42472546.72245,361299999983.443,85299999.9992071,"r00005",11,"NO",2130781.47700788,40.0322608956542
"106",42133990.4416399,366899999979.912,85339999.999476,"r00006",11,"NO",2147231.0956569,39.7442083304815
"107",42857201.0982542,374899999980.34,87539999.9991701,"r00007",11,"NO",2170514.30381746,40.331455012854
"108",41667234.6685306,359999999984.885,85559999.9994733,"r00008",11,"YES",2126944.62104197,40.2267173075519
"109",42156702.495997,369999999984.908,85579999.9994152,"r00009",11,"NO",2156283.17415019,39.6886647474503
"110",42856337.7190125,371699999986.019,87920000.000112,"r00010",11,"NO",2161231.120723,40.6805173019625
"111",44393306.6823738,361399999978.151,81199999.9992177,"r00001",12,"NO",2131076.33362929,38.1028115782844
"112",43433520.8487824,361099999984.624,81959999.9996814,"r00002",12,"NO",2130191.64129706,38.4754115126357
"113",43526425.2711907,367899999979.409,81279999.9991971,"r00003",12,"NO",2150155.28480247,37.8019209001754
"114",43594172.1994015,374699999981.773,83899999.9998848,"r00004",12,"NO",2169935.26838275,38.6647478486375
"115",42704117.7120477,369599999978.439,80999999.9994197,"r00005",12,"YES",2155117.30047258,37.5849611441837
"116",43081108.6539636,364799999979.011,82719999.9995528,"r00006",12,"NO",2141077.29889756,38.634756457483
"117",43670446.3343927,375399999976.195,83919999.9994854,"r00007",12,"NO",2171961.21704125,38.637890649726
"118",43652120.5813,363899999980.886,81639999.9996027,"r00008",12,"NO",2138434.53636652,38.177460479253
"119",43526705.6346592,369199999979.314,82119999.9998501,"r00009",12,"NO",2153950.79576147,38.1252905876241
"120",43540320.3379251,367699999982.438,81879999.9997201,"r00010",12,"NO",2149570.76521783,38.0913256379455
"121",45485618.0827715,379099999975.85,80319999.9996029,"r00001",13,"NO",2182638.56366557,36.7994964153442
"122",45716868.0202842,372399999976.454,80319999.999137,"r00002",13,"NO",2163265.22102387,37.1290580639583
"123",44811671.4988286,369599999976.67,78699999.99949,"r00003",13,"NO",2155117.30046742,36.5177338525476
"124",45160627.5326272,371399999975.761,79599999.9992835,"r00004",13,"NO",2160358.77711745,36.8457317564137
"125",45765346.2125591,370999999978.991,79279999.9990348,"r00005",13,"NO",2159195.10412173,36.7173859590991
"126",44544397.339855,366099999981.536,78159999.9993614,"r00006",13,"YES",2144888.87397107,36.4401162912721
"127",45692784.6175174,376299999974.683,79459999.9993175,"r00007",13,"NO",2174563.23473593,36.5406711242254
"128",46294736.4369415,386999999979.176,81419999.9994454,"r00008",13,"NO",2205263.11978759,36.9207643608929
"129",45798294.8126528,371899999983.864,81300000.0001248,"r00009",13,"NO",2161812.4875385,37.6073320275318
"130",45525618.2175691,364799999981.307,78579999.9996623,"r00010",13,"NO",2141077.2989043,36.7011504161367
"131",48081467.6985481,376499999978.57,78279999.9993729,"r00001",14,"NO",2175141.03819429,35.9884709197329
"132",46894549.9491314,369099999973.718,75959999.99914,"r00002",14,"YES",2153659.07084425,35.2702064256453
"133",46941154.1838826,370299999979.179,77119999.9996175,"r00003",14,"NO",2157157.16586334,35.7507562360448
"134",48070541.846757,376599999973.628,76999999.9992143,"r00004",14,"NO",2175429.88235343,35.395303072657
"135",47295814.3953227,370099999978.951,79300000.0002372,"r00005",14,"NO",2156574.54406515,36.7712770321198
"136",47411660.062503,388699999977.259,78619999.9995623,"r00006",14,"NO",2210101.41340067,35.5730282433466
"137",47808284.1808334,388799999974.238,79779999.9994145,"r00007",14,"NO",2210385.68909118,36.0932485190929
"138",47249787.7033526,370999999976.826,76939999.9997277,"r00008",14,"NO",2159195.10411543,35.6336487856424
"139",47172848.3510219,375799999976.836,77219999.9993857,"r00009",14,"NO",2173118.0539918,35.5341946828616
"140",48616872.6947875,383499999972.911,79359999.9989993,"r00010",14,"NO",2195268.35039964,36.150477906062
"141",49895603.287995,377899999976.696,75099999.9991523,"r00001",15,"YES",2179181.37264283,34.4624825367674
"142",50239820.7811807,397999999975.468,76879999.9995866,"r00002",15,"NO",2236384.4714643,34.3769154993499
"143",49072169.5969646,387599999976.54,79199999.9996008,"r00003",15,"NO",2206971.9639884,35.8862737234197
"144",49217756.8856405,382799999973.115,78839999.9992533,"r00004",15,"NO",2193263.93095743,35.9464261853962
"145",49902655.0789832,389099999975.302,77359999.9998591,"r00005",15,"NO",2211238.29691347,34.9849222979907
"146",49630294.2504255,374899999974.427,77159999.9994275,"r00006",15,"NO",2170514.30380035,35.5491783050351
"147",49594761.9178427,374699999972.435,75079999.9992369,"r00007",15,"NO",2169935.26835571,34.600110470636
"148",50009640.6385481,378499999975.181,76859999.9994499,"r00008",15,"NO",2180910.65319583,35.2421589975829
"149",49293138.3472553,383099999978.572,77439999.9998852,"r00009",15,"NO",2194123.19209559,35.294280776424
"150",50529865.0541539,384699999974.85,77099999.9993019,"r00010",15,"NO",2198700.24674305,35.0661715317996
"151",52391287.7458907,390599999974.255,76319999.999122,"r00001",16,"NO",2215496.41427044,34.4482615758392
"152",53222740.6324377,389399999975.462,76879999.9995814,"r00002",16,"NO",2212090.57611191,34.7544539223661
"153",52676742.5292063,390999999976.445,77059999.9998451,"r00003",16,"NO",2216630.53076475,34.7644765017555
"154",52781247.0317732,390199999975.192,74439999.9995279,"r00004",16,"YES",2214361.71693136,33.616910656623
"155",53271083.6326195,406799999969.221,79959999.9993821,"r00005",16,"NO",2260973.14569071,35.3653028351007
"156",53303004.3298291,396599999974.73,77439999.9994741,"r00006",16,"NO",2232447.66687537,34.6883831359247
"157",53197619.4598088,403499999971.781,77139999.999151,"r00007",16,"NO",2251783.85786454,34.25728438799
"158",52958095.5559768,388599999970.938,76039999.9992125,"r00008",16,"NO",2209817.10111375,34.4100875863837
"159",52597046.8080178,395799999972.399,77399999.9999213,"r00009",16,"NO",2230194.94412854,34.705486264191
"160",53669096.8473653,390999999974.684,75219999.9996057,"r00010",16,"NO",2216630.53075976,33.9343877817218
"161",58085979.9292439,405599999971.741,76239999.9995048,"r00001",17,"NO",2257635.91414315,33.7698384056938
"162",57761047.4111188,415599999973.697,75839999.9999075,"r00002",17,"NO",2285297.27322227,33.186054562159
"163",59201771.9053395,407099999972.573,75779999.9996957,"r00003",17,"NO",2261806.68421529,33.5041896058357
"164",57017514.5185973,419399999972.578,78179999.9995896,"r00004",17,"NO",2295721.20156557,34.0546578331353
"165",55684959.1229011,398399999970.352,73699999.9993017,"r00005",17,"NO",2237508.00051936,32.9384297093887
"166",58960842.6613808,410299999972.304,77339999.9995258,"r00006",17,"NO",2270678.72292042,34.060300657618
"167",56195435.1265731,405299999972.592,75879999.9995819,"r00007",17,"NO",2256800.83517694,33.622816341094
"168",56582245.0069266,408099999970.622,75559999.9995886,"r00008",17,"YES",2264582.93011115,33.3659673023677
"169",58059246.1130051,420399999971.435,78359999.9997426,"r00009",17,"NO",2298456.48336392,34.0924444586649
"170",58799297.7810469,403299999969.671,74619999.9991591,"r00010",17,"NO",2251225.72577472,33.1463873856896
"171",63994483.8579083,429899999967.909,77479999.9997776,"r00001",18,"NO",2324281.12041331,33.3350382272175
"172",61531797.6322862,422299999966.607,76239999.9998595,"r00002",18,"NO",2303644.57111427,33.0953832704245
"173",61307054.200244,401199999971.179,72619999.9996538,"r00003",18,"YES",2245356.9627386,32.3422962160462
"174",62615629.8305962,429099999970.802,76419999.9995561,"r00004",18,"NO",2322117.48846922,32.9096182165758
"175",61244450.3530199,438299999966.218,78239999.9996973,"r00005",18,"NO",2346878.82939216,33.3378950032804
"176",60406752.3284452,421299999966.25,77779999.9994166,"r00006",18,"NO",2300915.45681396,33.8039365023508
"177",63324733.908524,424099999971.706,75159999.9996109,"r00007",18,"NO",2308548.84661213,32.5572491610523
"178",61687942.8282516,415899999967.93,74659999.9992646,"r00008",18,"NO",2286121.94296564,32.6579254571229
"179",62746694.495931,440999999969.834,78039999.9994654,"r00009",18,"NO",2354096.31080662,33.1507252448501
"180",62177389.6266479,429399999972.327,77940000.0002989,"r00010",18,"NO",2322929.08661846,33.5524663448757
"181",64032589.2377984,424599999969.157,73559999.9994786,"r00001",19,"YES",2309909.29745506,31.8454062592515
"182",65519587.8171403,430699999967.951,75079999.9993053,"r00002",19,"NO",2326442.7401511,32.2724469867799
"183",65654851.9897737,435899999967.153,75799999.9995581,"r00003",19,"NO",2340444.60528046,32.3870087882191
"184",66391223.042644,458999999967.514,79719999.9995313,"r00004",19,"NO",2401658.61678604,33.1937268029437
"185",67725921.2522161,429799999965.091,75679999.9996629,"r00005",19,"NO",2324010.77656987,32.5643928860618
"186",66273509.2010385,431199999964.719,74379999.9990355,"r00006",19,"NO",2327792.73314192,31.9530166668412
"187",67447699.2697741,431199999967.194,77339999.9995444,"r00007",19,"NO",2327792.7331486,33.2246075426713
"188",65971270.5138555,438799999969.628,77479999.9998371,"r00008",19,"NO",2348217.07369637,32.9952459965187
"189",66731420.2719645,423199999968.35,76399999.9995545,"r00009",19,"NO",2306098.01257429,33.1295545909038
"190",65064461.1756894,434299999969.585,76219999.9991493,"r00010",19,"NO",2336145.27746756,32.626395598896
"191",71875629.6537833,447999999963.167,76760000.0001263,"r00001",20,"NO",2372706.05738892,32.3512471176468
"192",71003520.3636069,423299999969.146,73019999.9996861,"r00002",20,"NO",2306370.45607823,31.6601350001031
"193",70134807.5009694,440699999968.125,76499999.9992601,"r00003",20,"NO",2353295.46154909,32.5076052919012
"194",70024574.6359728,443499999969.094,75339999.9997517,"r00004",20,"NO",2360759.48946095,31.9134585018463
"195",73074625.1744693,445699999969.488,75279999.9993732,"r00005",20,"NO",2366607.56832147,31.8092450168094
"196",74906198.6187989,446999999966.716,78479999.999213,"r00006",20,"NO",2370056.46856785,33.1131350835012
"197",71463742.3887611,439799999965.191,73219999.999121,"r00007",20,"YES",2350891.27689005,31.1456343042722
"198",72330746.4411586,438899999970.481,73799999.9994429,"r00008",20,"NO",2348484.63104856,31.4245190382585
"199",69959517.2083247,439699999963.339,75559999.9991908,"r00009",20,"NO",2350623.99346919,32.1446561462495
"200",72233889.9070855,455399999965.082,78219999.9995665,"r00010",20,"NO",2392221.80772193,32.6976368775996
