spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
1000107,393,2.45079e+006,0,0,0,12,0,0,0
1000106,394,1.14436e+006,0,0,0,8,0,0,0
1000104,395,2.47462e+006,0,0,0,9,0,0,0
1000103,396,1.29555e+006,0,0,0,5,0,0,0
1000102,397,1.57038e+006,0,0,0,6,0,0,0
1000101,398,5.79695e+007,0,0,0,91,0,0,0
1000098,399,4.06795e+007,0,0,0,82,0,0,0
1000096,400,1.05958e+007,0,0,0,18,0,0,0
1000093,401,4.73384e+006,0,0,0,21,0,0,0
1000092,402,1.57038e+006,0,0,0,6,0,0,0
1000090,403,2.06872e+006,0,0,0,7,0,0,0
1000089,404,9.99505e+006,0,0,0,35,0,0,0
1000088,405,560441,0,0,0,3,0,0,0
1000086,406,578266,0,0,0,8,0,0,0
1000084,407,54983,0,0,0,1,0,0,0
1000082,408,7.80309e+007,0,0,0,53,0,0,0
1000081,409,3.10247e+007,0,0,0,35,0,0,0
1000080,410,4.29757e+006,0,0,0,13,0,0,0
1000079,411,3.44462e+007,0,0,0,35,0,0,0
1000078,412,1.42069e+006,0,0,0,6,0,0,0
1000077,413,3.14076e+006,0,0,0,10,0,0,0
1000076,414,87663,0,0,0,2,0,0,0
1000075,415,2.94123e+006,0,0,0,14,0,0,0
1000074,416,4.77089e+006,0,0,0,24,0,0,0
1000073,417,2.77697e+006,0,0,0,14,0,0,0
1000072,418,1.44017e+006,0,0,0,8,0,0,0
1000071,419,3.00768e+006,0,0,0,9,0,0,0
1000070,420,4.05433e+006,0,0,0,15,0,0,0
1000068,421,2.44061e+007,0,0,0,85,0,0,0
1000067,422,785191,0,0,0,2,0,0,0
1000065,423,1.24286e+007,0,0,0,35,0,0,0
1000064,424,3.6265e+006,0,0,0,14,0,0,0
1000063,425,2.34881e+006,0,0,0,10,0,0,0
1000062,426,3.14076e+006,0,0,0,10,0,0,0
1000061,427,4.63606e+006,0,0,0,17,0,0,0
1000060,428,2.16495e+007,0,0,0,47,0,0,0
1000058,429,785191,0,0,0,3,0,0,0
1000057,430,9.17732e+008,0,0,0,610,0,0,0
1000056,431,4.4527e+008,0,0,0,303,0,0,0
1000055,432,0,0,0,0,0,0,0,0
1000055,433,5.59286e+007,0,0,0,63,0,0,0
1000054,434,3.23323e+007,0,0,0,39,0,0,0
1000053,435,785191,0,0,0,3,0,0,0
1000052,436,5.11817e+007,0,0,0,64,0,0,0
1000051,437,1.52923e+009,0,0,0,910,0,0,0
1000050,438,3.92596e+006,0,0,0,12,0,0,0
1000049,439,1.84364e+006,0,0,0,7,0,0,0
1000048,440,1.01104e+009,0,0,0,693,0,0,0
1000047,441,43992,0,0,0,5,0,0,0
1000046,442,7.06672e+006,0,0,0,24,0,0,0
1000045,443,4.92934e+006,0,0,0,27,0,0,0
1000042,444,1.17521e+007,0,0,0,18,0,0,0
1000041,445,454914,0,0,0,6,0,0,0
1000040,446,4.71115e+006,0,0,0,15,0,0,0
1000038,447,1.29807e+007,0,0,0,55,0,0,0
1000037,448,4.87446e+007,0,0,0,53,0,0,0
1000036,449,5.6126e+006,0,0,0,18,0,0,0
1000035,450,2.08864e+007,0,0,0,51,0,0,0
1000034,451,3.14077e+006,0,0,0,12,0,0,0
1000033,452,1.79525e+007,0,0,0,54,0,0,0
1000032,453,9.05064e+006,0,0,0,33,0,0,0
1000031,454,5.443e+006,0,0,0,18,0,0,0
1000029,455,4.21423e+007,0,0,0,58,0,0,0
1000028,456,1.68933e+009,0,0,0,1076,0,0,0
1000027,457,1.39841e+008,0,0,0,110,0,0,0
1000026,458,3.9066e+006,0,0,0,27,0,0,0
1000025,459,977615,0,0,0,10,0,0,0
1000024,460,4.25477e+006,0,0,0,17,0,0,0
1000023,461,4.18461e+007,0,0,0,92,0,0,0
1000022,462,1.41002e+006,0,0,0,8,0,0,0
1000017,463,785191,0,0,0,3,0,0,0
1000016,464,2.35557e+006,0,0,0,8,0,0,0
1000015,465,3.82491e+006,0,0,0,5,0,0,0
1000014,466,5.32888e+006,0,0,0,23,0,0,0
1000013,467,6.85062e+008,0,0,0,445,0,0,0
1000012,468,7.52806e+008,0,0,0,594,0,0,0
1000010,469,1.57038e+006,0,0,0,6,0,0,0
1000009,470,3.43865e+007,0,0,0,119,0,0,0
1000008,471,8.55879e+006,0,0,0,31,0,0,0
1000007,472,3.64738e+007,0,0,0,100,0,0,0
1000006,473,1.30895e+006,0,0,0,6,0,0,0
1000005,474,1.34392e+008,0,0,0,214,0,0,0
1000004,475,1.84594e+008,0,0,0,364,0,0,0
1000003,476,4.79992e+007,0,0,0,102,0,0,0
1000002,477,4.4158e+007,0,0,0,173,0,0,0
1000001,478,1.61765e+008,0,0,0,124,0,0,0
1000000,479,2.12851e+007,0,0,0,20,0,0,0
4673,480,4.56579e+006,0,0,0,14,0,0,0
4672,481,6.28316e+007,0,0,0,379,0,0,0
4671,482,2.70185e+007,0,0,0,47,0,0,0
4670,483,1.45305e+007,0,0,0,156,0,0,0
4657,484,3.14005e+006,0,0,0,12,0,0,0
4656,485,512398,0,0,0,8,0,0,0
4655,486,913334,0,0,0,13,0,0,0
4644,487,311503,0,0,0,8,0,0,0
4643,488,2.74958e+007,0,0,0,264,0,0,0
4642,489,1.24979e+007,0,0,0,168,0,0,0
4641,490,1.26598e+006,0,0,0,20,0,0,0
4640,491,903960,0,0,0,8,0,0,0
4639,492,26986,0,0,0,1,0,0,0
4638,493,45843,0,0,0,1,0,0,0
4637,494,2.08288e+006,0,0,0,37,0,0,0
4635,495,42320,0,0,0,1,0,0,0
4634,496,3.77611e+006,0,0,0,46,0,0,0
4633,497,245295,0,0,0,7,0,0,0
4629,498,1.34012e+006,0,0,0,17,0,0,0
4626,499,440417,0,0,0,4,0,0,0
4625,500,8.15592e+006,0,0,0,39,0,0,0
4624,501,2.8902e+006,0,0,0,33,0,0,0
4622,502,1.31039e+006,0,0,0,4,0,0,0
4619,503,2.70185e+007,0,0,0,47,0,0,0
4618,504,2.33751e+006,0,0,0,47,0,0,0
4616,505,7.56736e+006,0,0,0,69,0,0,0
4615,506,1.34398e+006,0,0,0,28,0,0,0
4614,507,90805,0,0,0,1,0,0,0
4612,508,471669,0,0,0,23,0,0,0
4610,509,778770,0,0,0,14,0,0,0
