id,cost,status
355,157916755.000000,0
356,1095259.000000,0
357,14459495.000000,0
358,52027515.000000,0
359,13212129.000000,0
360,1687329.000000,0
361,20303592.000000,0
362,10283415.000000,0
363,361950.000000,0
364,2777953.000000,0
365,2206322.000000,0
366,151037.000000,0
367,30458539.000000,0
368,179252.000000,0
369,1919763.000000,0
370,5682031.000000,0
371,79025867.000000,0
372,1077731.000000,0
373,55549273.000000,0
374,69344284.000000,0
375,14789391.000000,0
376,6183651.000000,0
377,264595.000000,0
378,6210734.000000,0
379,190432770.000000,0
380,6633830.000000,0
381,243073.000000,0
382,3636438.000000,0
383,515812.000000,0
384,973612.000000,0
385,9673098.000000,0
386,7481070.000000,0
387,22580174.000000,0
388,2385049.000000,0
389,5356831.000000,0
390,1793513.000000,0
391,874772.000000,0
392,7064960.000000,0
393,4031189.000000,0
394,640244.000000,0
395,1587857.000000,0
396,5246588.000000,0
397,15587122.000000,0
398,8326995.000000,0
399,93689099.000000,0
400,4323879.000000,0
401,518986.000000,0
402,1430342.000000,0
403,8794590.000000,0
404,3683710.000000,0
405,440179.000000,0
406,634015.000000,0
407,17301678.000000,0
408,5696831.000000,0
409,7980497.000000,0
410,8680330.000000,0
411,18261584.000000,0
412,5647301.000000,0
413,1384973.000000,0
414,3170677.000000,0
415,9202209.000000,0
416,462517.000000,0
417,12062788.000000,0
418,33568600.000000,0
419,4826402.000000,0
420,12139887.000000,0
421,391803653.000000,0
422,1307375.000000,0
423,797368.000000,0
424,95726619.000000,0
425,12499590.000000,0
426,1810733.000000,0
427,36435.000000,0
428,95785417.000000,0
429,2339533.000000,0
430,27114809.000000,0
431,163551.000000,0
432,262638.000000,0
433,2939844.000000,0
434,789780.000000,0
435,2982816.000000,0
436,21197266.000000,0
437,37421.000000,0
438,974700.000000,0
439,2579940.000000,0
440,7748986.000000,0
441,39703956.000000,0
442,23586548.000000,0
443,14645729.000000,0
444,11432396.000000,0
445,3209214.000000,0
446,4882973.000000,0
447,18012440.000000,0
448,7156231.000000,0
449,1444262.000000,0
450,144115707.000000,0
451,322871.000000,0
452,7350207.000000,0
453,4678405.000000,0
454,1187555.000000,0
455,35223578.000000,0
456,1003379.000000,0
457,1877087.000000,0
458,1036318.000000,0
459,699178.000000,0
460,4374646.000000,0
461,1617795.000000,0
462,49641170.000000,0
463,38466371.000000,0
464,2774017.000000,0
465,7231865.000000,0
466,164259.000000,0
467,2301476.000000,0
468,9358373.000000,0
469,9363382.000000,0
470,2827036.000000,0
471,21588163.000000,0
472,375786717.000000,0
473,665209.000000,0
474,1842177.000000,0
475,599150.000000,0
476,37644332.000000,0
477,76222938.000000,0
478,521201.000000,0
479,25571687.000000,0
480,57223059.000000,0
481,124568608.000000,0
482,37355.000000,0
483,6599423.000000,0
484,2308876.000000,0
485,61554417.000000,0
486,144368.000000,0
487,4897311.000000,0
488,454822525.000000,0
489,4823521.000000,0
490,887569.000000,0
491,2797461.000000,0
492,1130835.000000,0
493,3117783.000000,0
494,45429.000000,0
495,641272.000000,0
496,4568807.000000,0
497,1408068.000000,0
498,100906990.000000,0
499,156969899.000000,0
500,579992.000000,0
501,3559807.000000,0
502,33581341.000000,0
