species,pu,amount
2000859,2432,1348317
2000500,2432,2000000
2000305,2433,656564
2000859,2433,997031
2000915,2433,1002969
2000302,2433,1343436
2000500,2433,2000000
2000101,2434,247271
2000861,2434,457166
2000005,2434,689756
2000004,2434,742582
2000915,2434,1542834
2000500,2434,1974640
2000305,2434,2000000
2000797,2435,10117
2000706,2435,29346
2000915,2435,37969
2000034,2435,128518
2000861,2435,1617380
2000305,2435,1694818
2000500,2435,1702648
2000795,2436,24146
2000704,2436,24394
2000915,2436,374137
2000859,2436,378869
2000004,2436,664221
2000005,2436,785192
2000861,2436,1198454
2000500,2436,1902068
2000305,2436,2000000
2000859,2437,914111
2000915,2437,1085889
2000500,2437,2000000
2000305,2437,2000000
2000859,2438,597955
2000861,2438,1402045
2000500,2438,1839067
2000305,2438,2000000
2000500,2439,2000000
2000861,2439,2000000
2000305,2439,2000000
2000821,2440,5533
2000730,2440,32025
2000861,2440,256328
2000305,2440,555530
2000500,2440,634295
2000307,2440,702469
2000938,2440,964095
2000730,2441,15213
2000305,2441,462461
2000861,2441,464771
2000938,2441,537446
2000859,2441,833367
2000307,2441,1388337
2000500,2441,1798726
2000339,2442,56528
2000938,2442,96567
2000108,2442,242125
2000913,2442,503043
2000861,2442,655670
2000859,2442,744721
2000305,2442,1943472
2000500,2442,2000000
4634,2443,4224
4672,2443,4224
2000034,2443,9508
2000730,2443,27627
2000938,2443,519014
2000339,2443,698205
2000305,2443,925987
2000913,2443,1077551
2000500,2443,1623864
4601,2444,898
4634,2444,97248
4672,2444,97248
4610,2444,101037
4670,2444,101935
2000706,2445,974
2000730,2445,10782
2000821,2445,12262
2000938,2445,95146
2000913,2445,253602
2000339,2445,309881
2000915,2445,421141
2000861,2445,1126510
2000305,2445,1610536
2000500,2445,1834077
2000704,2446,223
2000706,2446,10777
2000938,2446,27191
2000917,2446,191992
2000915,2446,268370
2000913,2446,777790
2000500,2446,1628606
2000339,2446,1699429
2000704,2447,2649
2000730,2447,10920
2000913,2447,23889
2000706,2447,24893
4634,2447,34790
4672,2447,34790
2000339,2447,132105
2000024,2447,175120
2000938,2447,231515
2000915,2447,1122294
2000500,2447,1151418
2000307,2447,1284055
2000730,2448,1796
4601,2448,37730
4670,2448,37730
2000938,2448,39418
4634,2448,184063
4672,2448,184063
2000024,2448,242646
2000915,2448,271031
2000307,2448,312253
2000728,2449,1065
2000704,2449,9079
2000730,2449,54613
2000938,2449,198405
2000859,2449,388852
2000913,2449,390810
2000500,2449,720045
2000339,2449,1042830
2000861,2450,37863
2000859,2450,142396
2000915,2450,1819741
2000500,2450,2000000
2000305,2450,2000000
2000797,2451,25958
4642,2451,42389
2000706,2451,45520
4643,2451,137622
4672,2451,180011
2000500,2451,733851
2000915,2451,942593
2000305,2451,1014071
2000706,2452,9321
2000500,2452,11274
2000861,2452,12992
2000305,2452,22314
2000820,2456,2231
2000797,2456,6097
2000892,2456,57823
2000056,2456,823433
2000729,2456,1933849
2000500,2456,2000000
2000305,2456,2000000
2000892,2457,131
2000305,2457,95953
2000729,2457,416652
2000056,2457,825084
2000917,2457,1583218
2000307,2457,1904047
2000500,2457,1904207
2000110,2458,9553
2000938,2458,19666
2000708,2458,20207
4619,2458,153710
4671,2458,153710
2000729,2458,492313
2000917,2458,1309143
2000500,2458,1724746
2000307,2458,1841341
2000708,2459,1232
2000799,2459,8328
2000730,2459,78360
4637,2459,131837
4672,2459,131837
2000110,2459,142284
2000938,2459,453825
4619,2459,529098
4671,2459,529098
2000917,2459,746635
2000500,2459,1153395
2000307,2459,1288388
4642,2460,130
4672,2460,130
2000821,2460,923
2000965,2460,998
2000035,2460,5565
2000820,2460,16108
2000848,2460,29896
2000730,2460,34207
2000033,2460,51367
2000757,2460,82505
2000729,2460,186407
2000938,2460,220100
4619,2460,261445
4671,2460,261445
2000500,2460,584445
2000917,2460,785342
2000307,2460,1356527
2000892,2461,1705
4624,2461,3481
2000820,2461,6335
2000744,2461,7955
2000307,2461,20201
2000952,2461,24927
4643,2461,42518
4625,2461,53797
4672,2461,99796
4619,2461,198736
4671,2461,198736
2000729,2461,759584
2000305,2461,780323
2000500,2461,830534
2000706,2462,1140
2000797,2462,7655
2000938,2462,37572
4619,2462,190728
4671,2462,190728
2000500,2462,1016720
2000056,2462,1345597
2000892,2462,1688939
2000305,2462,1735320
4637,2463,12742
2000730,2463,32397
4638,2463,45843
2000110,2463,49615
4672,2463,58585
2000729,2463,98988
2000098,2463,155528
2000317,2463,265991
2000056,2463,270159
4619,2463,478296
4671,2463,478296
2000314,2463,580092
2000305,2463,582624
2000892,2463,630837
2000938,2463,666484
2000500,2463,1257813
4656,2464,1493
