"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
6636132068,560817017703.483,14238817.8688238,"r00008",6,8,"NO",2654700.45227359,5.36362505857454
7169761788,541526674958.592,13826002.5226678,"r00009",6,8,"NO",2608644.26380664,5.30007203914125
8349915042,700284428773.935,12834437.8320006,"r00010",6,8,"NO",2966485.06947837,4.32647983435071
8729588898,579841600951.816,14342390.2025919,"r00001",6,9,"NO",2699352.59926966,5.31327037693127
7445018573,537830824914.724,12268400.2037275,"r00002",6,9,"NO",2599727.19216939,4.71911062079167
8612777330,519766364464.973,12704059.7081942,"r00003",6,9,"NO",2555694.96786,4.97088262408399
8419354159,503765151078.546,11519467.2442394,"r00004",6,9,"YES",2516048.40793091,4.57839650776533
8490772260,501436606004.337,14733779.5230913,"r00005",6,9,"NO",2510226.72893444,5.86950148895339
7421298730,656924160946.284,12453698.5657621,"r00006",6,9,"NO",2873178.11351436,4.33446799110175
7343822578,499653610243.266,13463551.4761152,"r00007",6,9,"NO",2505759.85384064,5.37304141714911
10401582966,596362503351.073,13096851.5697698,"r00008",6,9,"NO",2737537.62305043,4.78417226469969
7827368246,568596655342.222,13992783.3039717,"r00009",6,9,"NO",2673049.99974101,5.23476302550548
9070936095,546087762643.102,13308178.024983,"r00010",6,9,"NO",2619607.07231818,5.08021915409096
3004739660,506144059197.43,33428398.9163446,"r00001",7,1,"NO",2521982.12367397,13.2548119998753
3005445172,506145675087.161,34686984.3979336,"r00002",7,1,"NO",2521986.14944656,13.7538361999115
2980929718,509121027657.562,33863583.0320631,"r00003",7,1,"YES",2529387.97362293,13.3880541005179
2999282870,506352323332.621,33494512.0952493,"r00004",7,1,"NO",2522500.93289171,13.2782952261795
2995954671,509357195107.603,34866979.9688467,"r00005",7,1,"NO",2529974.56287857,13.7815535699203
2995928687,508772644195.658,33580769.0602622,"r00006",7,1,"NO",2528522.41544546,13.2807875679228
3009140863,507736410952.519,34298986.4587502,"r00007",7,1,"NO",2525946.14242543,13.5786689520688
3001189564,507360147357.67,34424135.9241735,"r00008",7,1,"NO",2525010.02902015,13.6332670082629
3016427274,507851162128.314,32723414.428034,"r00009",7,1,"NO",2526231.56504652,12.9534500640409
3022855988,508696421922.65,33118579.4695484,"r00010",7,1,"NO",2528333.00181729,13.0989784358879
17222922185,503207441592.317,9808326.30930934,"r00001",7,10,"NO",2514655.28590949,3.90046554860576
15142438342,521322696559.27,9702146.73223785,"r00002",7,10,"NO",2559518.35598827,3.79061424175319
15271135504,675215620228.823,10657416.4898388,"r00003",7,10,"NO",2912904.0026063,3.65869128550174
13894705190,576603022237.96,9623177.98954752,"r00004",7,10,"NO",2691803.72144809,3.57499245315353
18076345072,503305241509.132,9735855.13124484,"r00005",7,10,"NO",2514899.63953898,3.87126984241389
11107382830,515128151108.482,10512585.473104,"r00006",7,10,"NO",2544266.3501919,4.1318730141249
13847153747,555807615342.046,11193966.9924081,"r00007",7,10,"NO",2642817.52769111,4.23561856810738
12952082706,559333664546.923,9610604.51574397,"r00008",7,10,"NO",2651187.30492289,3.62501906142143
16703381636,504431072534.783,9854305.60231037,"r00009",7,10,"NO",2517710.82669769,3.91399421165281
15959265328,540346129834.229,9520467.39958147,"r00010",7,10,"YES",2605799.2492768,3.65356901619482
2997246886,507485625609.276,29483807.5306415,"r00001",7,2,"NO",2525322.24733124,11.675265428719
2990333072,507247691313.359,30024590.3197685,"r00002",7,2,"NO",2524730.18010276,11.8921976520067
3007685856,509386372041.408,29700484.2544106,"r00003",7,2,"NO",2530047.02268084,11.7391036562395
2994555164,507959128056.914,30283487.7075505,"r00004",7,2,"NO",2526500.08116167,11.9863394952381
2991646574,507143308326.725,30113862.1820185,"r00005",7,2,"NO",2524470.39337479,11.9287840574598
2986274763,508895366153.918,29728127.1395735,"r00006",7,2,"YES",2528827.35176211,11.7556966152152
3035888579,506921712549.244,29760263.9856886,"r00007",7,2,"NO",2523918.80066682,11.7912921674921
3063742034,507464221198.399,30335552.2095429,"r00008",7,2,"NO",2525268.99103961,12.0128003460947
2990092313,507109643991.444,29970844.3314048,"r00009",7,2,"NO",2524386.60440754,11.8725254994921
3052683053,507272073419.772,29278334.96027,"r00010",7,2,"NO",2524790.85805286,11.5963406897194
3032186823,505277132015.222,21161420.4878832,"r00001",7,3,"NO",2519821.36348269,8.3979843946698
3017832662,507520750439.298,22354963.4049295,"r00002",7,3,"NO",2525409.63894928,8.85201476233794
3070427053,504846733458.021,21378727.2333302,"r00003",7,3,"NO",2518747.934209,8.48783911362061
3016985516,505033961896.706,21513973.9504671,"r00004",7,3,"NO",2519214.94478581,8.53995170003104
3043569461,506994874223.504,21897072.9220261,"r00005",7,3,"NO",2524100.9268793,8.67519705287648
3015979608,507074582439.295,21831982.393866,"r00006",7,3,"NO",2524299.33487564,8.64872960676098
3011109178,506776594869.629,21778156.2185017,"r00007",7,3,"YES",2523557.51070086,8.62994250226275
3041148086,506608671114.332,21519289.1725704,"r00008",7,3,"NO",2523139.37737706,8.52877544756996
3026131853,505834273104.213,22514464.1504294,"r00009",7,3,"NO",2521210.21441539,8.93002258268651
3032022841,506321820644.914,21742831.1568392,"r00010",7,3,"NO",2522424.95396019,8.61981289976657
3093411991,506372798898.385,17059377.1914568,"r00001",7,4,"NO",2522551.9340516,6.76274567876066
3124387071,503076176493.503,16969118.6735045,"r00002",7,4,"NO",2514327.28201245,6.74896971245624
3110127522,504796351981.775,16777459.6637379,"r00003",7,4,"NO",2518622.25110863,6.66136402803274
3107522833,505101900935.131,16809117.3867679,"r00004",7,4,"NO",2519384.38614837,6.67191456737799
3153854989,503425980665.615,16557865.1636402,"r00005",7,4,"NO",2515201.27424056,6.58311735653826
3085087027,503099762834.58,17038719.1595452,"r00006",7,4,"NO",2514386.22247568,6.77649241283576
3113135940,502687644619.488,17410930.190411,"r00007",7,4,"NO",2513356.17164535,6.92736285721615
3158175227,504187593427.289,16439853.4587981,"r00008",7,4,"NO",2517103.12823475,6.53125939672062
3105169267,503290668586.257,17387659.2395998,"r00009",7,4,"NO",2514863.23051643,6.91395819407213
3084787133,505286626705.615,17065165.856085,"r00010",7,4,"YES",2519845.03842242,6.77230766014437
3315734050,504515441912.454,14857817.6408191,"r00001",7,5,"NO",2517921.36964979,5.90082669773187
3235892205,502660400119.273,14660445.2830391,"r00002",7,5,"YES",2513288.06169545,5.83317348555313
3209328096,515100283514.4,15641909.9503699,"r00003",7,5,"NO",2544197.52892802,6.14807214161571
3217844192,502769931018.866,15003030.5897062,"r00004",7,5,"NO",2513561.87251058,5.96883281600742
3228883340,503983509502.193,14898015.4015964,"r00005",7,5,"NO",2516593.64298847,5.9199129915567
3317732253,503886615513.439,14881008.5144768,"r00006",7,5,"NO",2516351.71590876,5.91372359451852
3224138161,503888945777.378,14968822.5763918,"r00007",7,5,"NO",2516357.53443688,5.94860721163043
3311030221,504829847814.922,14592384.8195204,"r00008",7,5,"NO",2518705.81148987,5.79360429985617
3263325605,503633670032.297,14991953.145529,"r00009",7,5,"NO",2515720.04632783,5.95930901270694
3218224891,504786551151.949,15317857.258963,"r00010",7,5,"NO",2518597.80094392,6.08189892535526
3804783239,502097598567.547,12224796.6534009,"r00001",7,6,"NO",2511880.67156454,4.86679036619465
3849446897,503044276113.734,11773842.8433399,"r00002",7,6,"YES",2514247.56320399,4.68284945987423
3916955290,501955029280.312,12118275.4770632,"r00003",7,6,"NO",2511524.02530374,4.82506850620217
3815976499,503456931495.627,12937942.6357021,"r00004",7,6,"NO",2515278.5908408,5.14374140614667
3821461987,502783563028.289,12041712.7085974,"r00005",7,6,"NO",2513595.94840171,4.79063181027729
3875718617,501463299237.921,11870155.5947081,"r00006",7,6,"NO",2510293.54214263,4.72859265079273
3884082556,500659541628.582,12699251.2921171,"r00007",7,6,"NO",2508280.95549919,5.06293015711621
3745694730,503677456861.553,12190117.1313495,"r00008",7,6,"NO",2515829.40459408,4.84536714178217
3913768795,501292331093.446,12138383.3169535,"r00009",7,6,"NO",2509865.57780617,4.83626829432173
3723290027,576582920078.944,12843500.8278606,"r00010",7,6,"NO",2691756.79875085,4.77141948106933
4309482015,502466105042.815,12537818.470567,"r00001",7,7,"NO",2512802.27975094,4.98957620804518
4484232156,502960421803.216,11502194.9643829,"r00002",7,7,"NO",2514037.99985872,4.57518739375829
4474189702,502682858583.808,10829775.1106374,"r00003",7,7,"YES",2513344.20691827,4.308910447215
4471182477,503095720264.957,11351894.590566,"r00004",7,7,"NO",2514376.12050135,4.51479573720361
4559877782,503712364683.669,11744513.3961078,"r00005",7,7,"NO",2515916.5840008,4.66808536928191
4397011560,503105613213.479,11379398.6112666,"r00006",7,7,"NO",2514400.84191145,4.52568994632375
4471212034,502789465264.749,11168352.257822,"r00007",7,7,"NO",2513610.70206035,4.44315114057541
4591517728,500250693520.108,10913607.2118577,"r00008",7,7,"NO",2507256.59134917,4.3528082644246
4538669366,502045110668.855,10944057.9191465,"r00009",7,7,"NO",2511749.375593,4.35714567125661
4270460898,594888774413.129,11775039.3800576,"r00010",7,7,"NO",2734153.03404862,4.30664971324653
6078639798,505723731244.274,10112992.4195103,"r00001",7,8,"YES",2520934.71460332,4.01160425175931
6029254365,502089714042.243,10759373.3892953,"r00002",7,8,"NO",2511860.94923912,4.28342715091552
5735559423,504446136386.877,10262328.920092,"r00003",7,8,"NO",2517748.41968356,4.07599458304169
6858382269,521507743077.693,10358372.4235108,"r00004",7,8,"NO",2559972.57363674,4.04628257747135
6357380831,522547098005.892,10681237.3760784,"r00005",7,8,"NO",2562522.29200058,4.16825149557607
5796756909,501488384140.596,10562339.4319263,"r00006",7,8,"NO",2510356.32807513,4.20750604756783
6171692913,504514267530.39,10229361.8879926,"r00007",7,8,"NO",2517918.43911173,4.06262638578607
