id,prop,spf,name
323,0.2,0.08,Fis-3161_surface.grd
324,0.2,0.08,Fis-3208_surface.grd
325,0.2,0.08,Fis-3209_surface.grd
326,0.2,0.08,Fis-32303_surface.grd
327,0.2,0.08,Fis-32453_surface.grd
328,0.2,0.08,Fis-32464_surface.grd
329,0.2,0.08,Fis-32466_surface.grd
330,0.2,0.08,Fis-32475_surface.grd
331,0.2,0.08,Fis-32815_surface.grd
332,0.2,0.08,Fis-33025_surface.grd
333,0.2,0.08,Fis-33029_surface.grd
334,0.2,0.08,Fis-33079_surface.grd
335,0.2,0.08,Fis-33084_surface.grd
336,0.2,0.08,Fis-3310_surface.grd
337,0.2,0.08,Fis-33152_surface.grd
338,0.2,0.08,Fis-33155_surface.grd
339,0.2,0.08,Fis-33171_surface.grd
340,0.2,0.08,Fis-33222_surface.grd
341,0.2,0.08,Fis-33242_surface.grd
342,0.2,0.08,Fis-33244_surface.grd
343,0.2,0.08,Fis-33274_surface.grd
344,0.2,0.08,Fis-33336_surface.grd
345,0.2,0.08,Fis-33807_surface.grd
346,0.2,0.08,Fis-33815_surface.grd
347,0.2,0.08,Fis-34817_surface.grd
348,0.2,0.08,Fis-34825_surface.grd
349,0.2,0.08,Fis-34887_surface.grd
350,0.2,0.08,Fis-35840_surface.grd
351,0.2,0.08,Fis-35869_surface.grd
352,0.2,0.08,Fis-47571_surface.grd
353,0.2,0.08,Fis-48192_surface.grd
354,0.2,0.08,Fis-48954_surface.grd
355,0.2,0.08,Fis-48992_surface.grd
356,0.2,0.08,Fis-49011_surface.grd
357,0.2,0.08,Fis-49022_surface.grd
358,0.2,0.08,Fis-49046_surface.grd
359,0.2,0.08,Fis-49074_surface.grd
360,0.2,0.08,Fis-49096_surface.grd
361,0.2,0.08,Fis-49104_surface.grd
362,0.2,0.08,Fis-49115_surface.grd
363,0.2,0.08,Fis-49122_surface.grd
364,0.2,0.08,Fis-49127_surface.grd
365,0.2,0.08,Fis-49130_surface.grd
366,0.2,0.08,Fis-49149_surface.grd
367,0.2,0.08,Fis-49150_surface.grd
368,0.2,0.08,Fis-49152_surface.grd
369,0.2,0.08,Fis-49171_surface.grd
370,0.2,0.08,Fis-49220_surface.grd
371,0.2,0.08,Fis-50088_surface.grd
372,0.2,0.08,Fis-50553_surface.grd
373,0.2,0.08,Fis-51003_surface.grd
374,0.2,0.08,Fis-51155_surface.grd
