"new_cost","area_m2","perimeter_m","solution","iteration","scenario","best_solution","per_circle_m","fragmentation_m"
4982.23263655493,12813999999.9916,8246509.29348622,"r00089",8,10,"NO",401279.793974595,20.5505221476671
4964.41804780161,13889999999.9967,8571820.33518635,"r00090",8,10,"NO",417788.089626078,20.5171486407335
4896.1789162189,13675999999.993,8620324.36373389,"r00091",8,10,"NO",414557.215016079,20.7940521874635
5001.12191086424,13597999999.996,8617276.28264638,"r00092",8,10,"NO",413373.327168076,20.8462320045691
5058.28630592344,14157999999.9984,9006687.58999861,"r00093",8,10,"NO",421799.330438156,21.353015379713
4942.78094053493,13861999999.9906,8699771.22403292,"r00094",8,10,"NO",417366.780489451,20.84442660681
4900.10901153707,13519999999.9925,8701919.33677286,"r00095",8,10,"NO",412186.038950911,21.1116304640517
4899.7002310059,13759999999.9924,8657094.54382049,"r00096",8,10,"NO",415828.401691716,20.8189111388275
5055.57523009165,13573999999.9946,8721297.16224902,"r00097",8,10,"NO",413008.371245963,21.1165142632306
4943.03886980816,14005999999.9968,8792813.83006382,"r00098",8,10,"NO",419529.005939607,20.9587744961062
5070.18360527815,13853999999.9975,8900074.38384197,"r00099",8,10,"NO",417246.328313744,21.330503781329
4962.60044932647,13949999999.9925,8482908.20193941,"r00100",8,10,"NO",418689.467350465,20.2606200142092
8399.42157141868,15765999999.9913,7953946.21301892,"r00001",8,2,"NO",445108.300423479,17.8696874568537
8467.98712866774,14987999999.9923,7575220.54929188,"r00002",8,2,"NO",433987.053686994,17.4549459135603
8216.00929252905,14245999999.9931,7387699.72351085,"r00003",8,2,"NO",423108.160843151,17.4605465155505
8621.63153371696,15607999999.9929,8248821.63739466,"r00004",8,2,"NO",442872.343400249,18.625732133243
8680.04839067121,16073999999.9909,8229931.62232335,"r00005",8,2,"NO",449435.024508655,18.311727332156
8762.97886261195,15879999999.9919,7835688.77945627,"r00006",8,2,"NO",446714.635260501,17.5407030819282
8642.5451419265,15503999999.9946,7886631.45917953,"r00007",8,2,"NO",441394.39281096,17.8675388442399
8135.77998753709,14151999999.9923,7720468.60387049,"r00008",8,2,"NO",421709.944078053,18.3075327302254
8514.53456717028,15905999999.9895,7907177.09606341,"r00009",8,2,"NO",447080.18407425,17.6862616097299
8258.09912820008,15091999999.9943,8027249.23433885,"r00010",8,2,"NO",435490.143759691,18.4326771784952
